date,rank,name,code,price,quant_score,score_max,badge,vol,value_trap,t_roe,f_roe,roic,t_per,t_eps,t_pbr,ev_ebitda,dps,sh_return,return_total,t_pegy,t_fair,graham_target,f_per,f_eps,growth,f_target
2026-08-09,74,한국타이어앤테크놀로지,161390,70500.0,70,80,🟢 강력 저평가,"⚡ 변동성 확대 (3.45%, 벌점 1.101x)",false,9.39,10.55,,7.83,9009,0.68,3.77,1500,3.26,"총 1,858억원 (배당 기준)",0.35,176250,144967,7.0,10751,19.3,176250
2026-08-09,75,아모레퍼시픽,090430,141800.0,46,80,🟡 목표가 달성 (적정가),"⚡ 변동성 확대 (3.68%, 벌점 1.109x)",true,4.41,6.68,,41.95,3380,1.79,13.34,1240,0.87,총 725억원 (배당 기준),0.69,84500,77618,26.0,5399,59.7,134975
2026-08-09,76,삼성증권,016360,91000.0,78,80,🟢 강력 저평가,"⚡ 변동성 확대 (5.01%, 벌점 1.155x)",false,13.09,19.61,,6.72,13546,0.99,12.24,4000,4.4,"총 3,572억원 (배당 기준)",0.15,227500,167379,5.0,19014,40.4,227500
2026-08-09,77,하이브,352820,185000.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (5.23%, 벌점 1.163x)",true,-7.33,5.6,,,,2.37,37.49,500,0.27,총 215억원 (배당 기준),,,,42.0,4370,,
2026-08-09,78,한진칼,180640,118900.0,11,35,🔵 Trailing만 검증됨 (Forward 데이터 없음),"⚡ 변동성 확대 (5.19%, 벌점 1.162x)",true,4.75,,,47.79,2488,2.34,611.70,360,0.3,총 240억원 (배당 기준),,,53333,,,,
2026-08-09,79,키움증권,039490,277500.0,77,80,🟢 강력 저평가,"⚡ 변동성 확대 (5.58%, 벌점 1.175x)",false,18.12,25.18,,5.58,49724,1.05,16.10,11500,4.14,"총 3,016억원 (배당 기준)",0.13,693750,543765,4.0,69324,39.4,693750
2026-08-09,80,LG씨엔에스,064400,72600.0,10,80,🔴 극단적 고평가 (위험),"⚡ 변동성 확대 (5.25%, 벌점 1.164x)",false,17.35,15.37,,15.24,4764,2.41,8.93,1100,2.55,"총 1,065억원 (배당 기준)",2.8,25963,56825,15.0,4903,2.9,23601
2026-08-09,81,현대차2우B,005387,200500.0,72,80,🟢 강력 저평가,"⚡ 변동성 확대 (3.98%, 벌점 1.119x)",false,8.41,8.45,,6.18,32437,0.44,11.37,2600,5.04,총 909억원 (배당 기준),0.27,501250,576690,5.0,38148,17.6,501250
2026-08-09,82,코웨이,021240,95700.0,41,50,🔵 Trailing만 검증됨 (Forward 데이터 없음),"⚡ 변동성 확대 (2.26%, 벌점 1.059x)",false,18.14,18.58,,10.4,9201,1.82,6.77,1957,2.05,"총 1,384억원 (배당 기준)",,,104335,,,,
2026-08-09,83,대우건설,047040,16410.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (7.59%, 벌점 1.246x)",true,-23.89,15.52,,,,1.88,-12.22,0,0.0,무배당 (배당 공시 확인됨),,,,12.0,1372,,
2026-08-09,84,SK바이오팜,326030,85400.0,10,50,🔴 실적 역성장/적자 (위험),"⚡ 변동성 확대 (3.02%, 벌점 1.086x)",false,39.28,33.85,,19.17,4454,7.18,29.10,0,0.0,무배당 (배당 공시 확인됨),,,34525,20.0,4265,-4.2,
2026-08-09,85,HD건설기계,267270,138100.0,59,80,🟢 강력 저평가,"⚡ 변동성 확대 (5.77%, 벌점 1.182x)",true,5.74,16.32,,14.07,9818,1.41,29.61,550,0.4,총 263억원 (배당 기준),0.55,245450,147092,11.0,12291,25.2,275784
2026-08-09,86,유한양행,000100,80600.0,10,50,🔴 실적 역성장/적자 (위험),"⚡ 변동성 확대 (2.51%, 벌점 1.068x)",false,8.81,6.82,,30.8,2617,2.63,37.24,600,0.74,총 477억원 (배당 기준),,,42480,39.0,2056,-21.4,
2026-08-09,87,LG유플러스,032640,14960.0,67,80,🟢 강력 저평가,"⚡ 변동성 확대 (2.17%, 벌점 1.056x)",true,6.01,8.01,,12.08,1238,0.72,3.48,410,4.41,"총 1,740억원 (배당 기준)",0.29,30950,24058,9.0,1695,36.9,37400
2026-08-09,88,두산밥캣,241560,63600.0,61,80,🟢 강력 저평가,"⚡ 변동성 확대 (4.47%, 벌점 1.136x)",true,5.71,7.41,,14.42,4411,0.81,5.81,500,2.67,총 479억원 (배당 기준),0.43,110275,88277,11.0,5767,30.7,144175
2026-08-09,89,이수페타시스,007660,82300.0,62,80,🟢 강력 저평가,"⚡ 변동성 확대 (9.37%, 벌점 1.308x)",false,29.64,29.99,,34.7,2372,7.59,25.36,230,0.28,총 168억원 (배당 기준),0.67,59300,24056,23.0,3600,51.8,90000
2026-08-09,90,한화,000880,83800.0,51,80,🟢 강력 저평가,"⚡ 변동성 확대 (3.19%, 벌점 1.092x)",true,3.3,7.69,,18.15,4618,0.60,0.97,1100,1.31,총 775억원 (배당 기준),0.14,115450,120466,8.0,10479,126.9,209500
2026-08-09,91,한화솔루션,009830,33900.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (7.21%, 벌점 1.232x)",true,-7.01,3.49,,,,0.67,48.33,271,0.8,총 465억원 (배당 기준),,,,21.0,1614,,
2026-08-09,92,카카오페이,377300,42000.0,23,80,🔴 목표가 초과 (고평가 관망),"⚡ 변동성 확대 (4.22%, 벌점 1.128x)",true,2.41,6.51,,93.96,447,2.94,16.68,0,0.0,무배당 (배당 공시 확인됨),0.86,11175,11987,45.0,938,109.8,23450
2026-08-09,93,삼성카드,029780,47850.0,11,50,🔴 실적 역성장/적자 (위험),"⚡ 변동성 확대 (2.21%, 벌점 1.057x)",true,7.45,6.86,,8.97,5332,0.58,27.96,2800,5.85,"총 3,244억원 (배당 기준)",1.97,24260,99486,9.0,5262,-1.3,21681
2026-08-09,94,오리온,271560,137600.0,75,85,🟢 강력 저평가,🟢 정상 (1.98%),false,10.51,12.13,,13.5,10190,1.40,5.77,3500,2.54,"총 1,383억원 (배당 기준)",0.62,222549,150115,11.0,12153,19.3,265713
2026-08-09,95,JB금융지주,175330,28850.0,67,80,🟢 저평가,"⚡ 변동성 확대 (3.81%, 벌점 1.113x)",false,12.36,12.22,,7.73,3731,0.91,18.78,660,3.95,"총 1,231억원 (배당 기준)",0.77,37496,51589,7.0,3959,6.1,35812
2026-08-09,96,NC,036570,248500.0,4,80,🔴 극단적 고평가 (위험),"⚡ 변동성 확대 (2.9%, 벌점 1.082x)",false,10.79,12.96,,11.7,21244,1.37,33.26,1150,0.46,총 247억원 (배당 기준),5.97,41638,294451,12.0,21561,1.5,39369
2026-08-09,97,대한전선,001440,27100.0,16,80,🔴 목표가 초과 (고평가 관망),"⚡ 변동성 확대 (8.01%, 벌점 1.26x)",true,5.48,5.46,,103.44,262,3.18,33.14,0,0.0,무배당 (배당 공시 확인됨),1.29,6550,7088,57.0,472,80.2,11800
2026-08-09,98,대덕전자,353200,103800.0,54,80,🟢 강력 저평가,"⚡ 변동성 확대 (11.23%, 벌점 1.373x)",true,5.37,23.04,,54.12,1918,5.82,33.36,500,0.48,총 247억원 (배당 기준),0.41,47950,27743,23.0,4465,132.8,111625
2026-08-09,99,OCI홀딩스,010060,272500.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (10.53%, 벌점 1.349x)",true,-2.27,4.03,,,,1.26,31.24,1000,0.37,총 186억원 (배당 기준),,,,32.0,8632,,
2026-08-09,100,한미약품,128940,392500.0,42,80,🔴 목표가 초과 (고평가 관망),"⚡ 변동성 확대 (5.36%, 벌점 1.168x)",false,14.53,15.62,,29.16,13460,3.83,14.76,2000,0.51,총 256억원 (배당 기준),1.27,309714,176171,24.0,16486,22.5,334588
2026-08-09,101,LG생활건강,051900,333500.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (3.64%, 벌점 1.107x)",true,-1.82,4.19,,,,1.00,10.37,1000,0.6,총 149억원 (배당 기준),,,,25.0,13547,,
2026-08-09,102,LG디스플레이,034220,9770.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (4.16%, 벌점 1.126x)",true,3.44,0.46,,,,0.76,3.29,0,0.0,무배당 (배당 공시 확인됨),,,,158.0,62,,
2026-08-09,103,산일전기,062040,157300.0,51,80,🟡 적정가 형성,"⚡ 변동성 확대 (7.98%, 벌점 1.259x)",false,29.21,30.93,,29.3,5368,8.08,25.25,1250,0.8,총 383억원 (배당 기준),1.11,134200,48490,23.0,6740,25.6,162530
2026-08-09,104,맥쿼리인프라,088980,9980.0,,,⚠️ 데이터 검증 필요,🟢 정상 (1.0%),false,,,,,,,,,,데이터 없음 (배당 정보 미수집),,,,,,,
2026-08-09,105,현대차우,005385,197500.0,72,80,🟢 강력 저평가,"⚡ 변동성 확대 (4.05%, 벌점 1.122x)",false,8.41,8.45,,6.09,32437,0.43,11.37,2550,5.09,총 595억원 (배당 기준),0.27,493750,578976,5.0,38148,17.6,493750
2026-08-09,106,두산로보틱스,454910,70700.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (5.98%, 벌점 1.189x)",true,-14.78,1.98,,,,13.44,-84.24,0,0.0,무배당 (배당 공시 확인됨),,,,,,,
2026-08-09,107,가온전선,000500,147700.0,27,50,🔵 Trailing만 검증됨 (Forward 데이터 없음),"⚡ 변동성 확대 (11.49%, 벌점 1.382x)",false,10.97,18.59,,78.9,1872,8.78,45.50,56,0.04,총 16억원 (배당 기준),,,26619,,,,
2026-08-09,108,CJ,001040,145700.0,49,80,🟢 강력 저평가,"⚡ 변동성 확대 (3.19%, 벌점 1.092x)",true,2.69,7.29,,34.4,4236,0.92,3.37,3300,2.27,총 962억원 (배당 기준),0.22,105900,122858,13.0,10862,156.4,271550
2026-08-09,109,영원무역,111770,93400.0,63,80,🟢 저평가,"⚡ 변동성 확대 (2.58%, 벌점 1.07x)",false,12.66,13.71,,7.48,12493,0.92,5.02,1400,2.25,총 620억원 (배당 기준),0.72,129302,168929,7.0,13504,8.1,132490
2026-08-09,110,SKC,011790,81200.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (6.62%, 벌점 1.212x)",true,-73.28,-29.76,,,,3.31,-56.79,0,0.0,무배당 (배당 공시 확인됨),,,,,,,
2026-08-09,111,신세계,004170,420000.0,24,80,🟢 강력 저평가,"⚡ 변동성 확대 (5.81%, 벌점 1.183x)",true,0.32,8.4,,52.88,7942,0.78,8.50,5200,1.24,총 491억원 (배당 기준),0.13,198550,310194,10.0,41089,417.4,1027225
2026-08-09,112,한화생명,088350,4555.0,56,65,🟢 강력 저평가,"⚡ 변동성 확대 (4.25%, 벌점 1.129x)",true,6.51,,,5.35,852,0.23,13.25,150,3.29,"총 1,302억원 (배당 기준)",0.36,11387,19485,5.0,950,11.5,11387
2026-08-09,113,한전기술,052690,101900.0,16,80,🔴 목표가 초과 (고평가 관망),"⚡ 변동성 확대 (5.36%, 벌점 1.168x)",false,14.2,10.42,,116.06,878,6.59,63.78,1347,1.32,총 514억원 (배당 기준),1.2,21950,17478,59.0,1714,95.2,42850
2026-08-09,114,KCC,002380,442000.0,75,80,🟢 강력 저평가,"⚡ 변동성 확대 (5.36%, 벌점 1.168x)",false,23.51,20.39,,2.3,192585,0.40,8.76,14000,3.39,"총 1,203억원 (배당 기준)",0.29,1105000,2188183,2.0,201206,4.5,1105000
2026-08-09,115,현대제철,004020,28300.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (4.19%, 벌점 1.127x)",true,-0.04,0.56,,524.07,54,0.19,5.75,500,1.77,총 667억원 (배당 기준),0.36,1350,13453,33.0,845,1464.8,21125
2026-08-09,116,한온시스템,018880,3625.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (3.97%, 벌점 1.119x)",true,-6.0,6.52,,,,0.94,6.56,278,7.67,"총 2,853억원 (배당 기준)",,,,15.0,245,,
2026-08-09,117,엘앤에프,066970,90200.0,,,⚠️ 데이터 검증 필요,"⚡ 변동성 확대 (7.21%, 벌점 1.232x)",true,-76.95,-6.71,,,,5.28,-70.51,0,0.0,무배당 (배당 공시 확인됨),,,,,,,
