date,code,name,rsi,rsi_signal,macd,macd_signal_line,macd_histogram,macd_cross,bb_upper,bb_lower,bb_mid,bb_percent_b,bb_position,verdict_score,verdict_label,bars_used,warmup_insufficient,unavailable_reasons
2026-08-26,007310,오뚜기,58.21,neutral,3012.61,2613.88,398.73,golden,341622.48,314927.52,328275.0,0.8456,inside,1,중립,268,false,
2026-08-26,005070,코스모신소재,52.45,neutral,610.77,282.69,328.08,,44964.2,28920.8,36942.5,0.6376,inside,0,중립,268,false,
2026-08-26,007810,코리아써키트,46.04,neutral,-2774.81,-3924.02,1149.21,,70991.3,40293.7,55642.5,0.5866,inside,0,중립,268,false,
2026-08-26,229640,LS에코에너지,46.57,neutral,-787.53,-899.08,111.54,,52507.54,36227.46,44367.5,0.4928,inside,0,중립,268,false,
2026-08-26,093370,후성,55.32,neutral,232.08,-88.54,320.63,,14312.99,7236.01,10774.5,0.7339,inside,0,중립,268,false,
2026-08-26,082640,동양생명,60.94,neutral,106.95,128.72,-21.77,,8323.1,8156.9,8240.0,0.5602,inside,0,중립,268,false,
2026-08-26,281820,케이씨텍,43.86,neutral,-3739.14,-4177.34,438.2,,76191.14,57048.86,66620.0,0.4363,inside,0,중립,268,false,
2026-08-26,012630,HDC,60.51,neutral,259.23,260.11,-0.88,,24200.49,18852.51,21526.5,0.7755,inside,0,중립,268,false,
2026-08-26,361610,SK아이이테크놀로지,72.45,overbought,393.09,-45.75,438.85,,17824.16,11696.84,14760.5,1.3486,above_upper,-2,매도 우위,268,false,
2026-08-26,192080,더블유게임즈,44.68,neutral,-934.2,-784.86,-149.34,,63612.31,56627.69,60120.0,0.3253,inside,0,중립,268,false,
2026-08-26,415640,KB발해인프라,49.44,neutral,-56.61,-47.25,-9.36,,10690.06,10048.94,10369.5,0.4852,inside,0,중립,268,false,
2026-08-26,003540,대신증권,53.23,neutral,-97.82,-212.5,114.68,,28046.25,24173.75,26110.0,0.7169,inside,0,중립,268,false,
2026-08-26,000815,삼성화재우,60.3,neutral,5033.82,2652.55,2381.26,,426207.78,374692.22,400450.0,0.9766,inside,0,중립,268,false,
2026-08-26,280360,롯데웰푸드,71.35,overbought,7905.76,6163.28,1742.48,,144555.56,93034.44,118795.0,0.9096,inside,-1,중립,268,false,
2026-08-26,300720,한일시멘트,70.63,overbought,462.7,299.08,163.62,,16365.51,13229.49,14797.5,0.9313,inside,-1,중립,268,false,
2026-08-26,066575,LG전자우,57.5,neutral,1341.43,611.48,729.95,,79188.7,53241.3,66215.0,0.7538,inside,0,중립,268,false,
2026-08-26,004000,롯데정밀화학,54.56,neutral,-57.72,-39.7,-18.02,,49350.43,42849.57,46100.0,0.6769,inside,0,중립,268,false,
2026-08-26,017960,한국카본,50.38,neutral,-293.99,-470.16,176.16,,26098.18,19865.82,22982.0,0.6393,inside,0,중립,268,false,
2026-08-26,030610,교보증권,53.88,neutral,84.35,46.15,38.19,,10893.16,8908.84,9901.0,0.6759,inside,0,중립,268,false,
2026-08-26,330590,롯데리츠,62.92,neutral,85.24,74.72,10.52,,4076.44,3523.56,3800.0,0.7713,inside,0,중립,268,false,
2026-08-26,000080,하이트진로,52.68,neutral,38.14,42.84,-4.7,,15915.28,14924.72,15420.0,0.5808,inside,0,중립,268,false,
2026-08-26,003530,한화투자증권,59.3,neutral,83.92,-5.19,89.11,,5235.17,3750.33,4492.75,0.8349,inside,0,중립,268,false,
2026-08-26,032350,롯데관광개발,53.65,neutral,-26.69,-184.94,158.25,,14238.48,11191.52,12715.0,0.7314,inside,0,중립,268,false,
2026-08-26,006340,대원전선,50.62,neutral,284.62,511.95,-227.34,,16533.89,11076.11,13805.0,0.4679,inside,0,중립,268,false,
2026-08-26,192400,쿠쿠홀딩스,68.2,neutral,569.54,434.25,135.29,,28332.19,25427.81,26880.0,0.9717,inside,0,중립,268,false,
2026-08-26,003240,태광산업,52.29,neutral,4825.3,6861.04,-2035.74,,963463.32,825836.68,894650.0,0.5534,inside,0,중립,268,false,
2026-08-26,451800,한화리츠,56.59,neutral,159.06,169.24,-10.19,,5783.92,4827.58,5305.75,0.6195,inside,0,중립,268,false,
2026-08-26,003570,SNT다이내믹스,45.29,neutral,-992.42,-1042.07,49.65,,33633.33,28901.67,31267.5,0.4329,inside,0,중립,268,false,
2026-08-26,003090,대웅,54.18,neutral,-16.53,2.27,-18.79,,18738.22,15672.78,17205.5,0.6613,inside,0,중립,268,false,
2026-08-26,000210,DL,52.77,neutral,305.69,509.01,-203.33,,55300.58,41869.42,48585.0,0.5793,inside,0,중립,268,false,
2026-08-26,001820,삼화콘덴서,59.53,neutral,2142.61,-1109.91,3252.52,,114379.77,57930.23,86155.0,0.8834,inside,0,중립,268,false,
2026-08-26,185750,종근당,51.75,neutral,-205.47,-282.51,77.05,,71017.54,65082.46,68050.0,0.6264,inside,0,중립,268,false,
2026-08-26,051915,LG화학우,43.84,neutral,-1756.32,-1906.56,150.24,,131550.26,111209.74,121380.0,0.3732,inside,0,중립,268,false,
2026-08-26,077970,STX엔진,45.33,neutral,-644.89,-498.11,-146.79,,31049.74,19745.26,25397.5,0.4295,inside,0,중립,268,false,
2026-08-26,009450,경동나비엔,46.0,neutral,-241.21,427.47,-668.68,,75344.38,58395.62,66870.0,0.3543,inside,0,중립,268,false,
